iso3,country_name,gfd_pe_2000_2018,gfd_events_2000_2018,source_row_notes
AFG,Afghanistan,126452,,
ALB,Albania,97994,,
DZA,Algeria,228453,,
AGO,Angola,36455,,
ARG,Argentina,175721,,
AUS,Australia,126260,,
AUT,Austria,65051,,
AZE,Azerbaijan,54642,,
BGD,Bangladesh,44333706,,
BLR,Belarus,250255,,
BEL,Belgium,63819,,
BEN,Benin,149254,,
BTN,Bhutan,92482,,
BOL,Bolivia,145611,,
BIH,Bosnia and Herzegovina,59630,,
BWA,Botswana,5805,,
BRA,Brazil,339846,,
BGR,Bulgaria,153456,,
BFA,Burkina Faso,60520,,
KHM,Cambodia,3038087,,
CMR,Cameroon,292585,,
CAN,Canada,367530,,
CAF,Central African Republic,37240,,
TCD,Chad,530571,,
CHN,China,60106331,,
COL,Colombia,798367,,
CRI,Costa Rica,2646,,
HRV,Croatia,25291,,
CUB,Cuba,59593,,
CZE,Czech Republic,104934,,
DJI,Djibouti,6551,,
DOM,Dominican Republic,54045,,
ECU,Ecuador,64751,,
SLV,El Salvador,11115,,
ERI,Eritrea,906,,
EST,Estonia,44248,,
ETH,Ethiopia,455602,,
FRA,France,1128598,,
GMB,"Gambia, The",9235,,
GEO,Georgia,4878,,
DEU,Germany,646498,,
GHA,Ghana,586284,,
GRC,Greece,187153,,
GTM,Guatemala,78453,,
GIN,Guinea,98017,,
GNB,Guinea-Bissau,21822,,
GUY,Guyana,47901,,
HTI,Haiti,74067,,
HND,Honduras,10910,,
HUN,Hungary,116250,,
IND,India,109481898,,
IDN,Indonesia,6126542,,
IRN,Iran,178010,,
IRQ,Iraq,488649,,
IRL,Ireland,1596997,,
CIV,Ivory Coast,14559,,
JAM,Jamaica,5940,,
JOR,Jordan,1408,,
KAZ,Kazakhstan,1052765,,
KEN,Kenya,134319,,
KWT,Kuwait,4196,,
LAO,Laos,809229,,
LVA,Latvia,60472,,
LTU,Lithuania,12674,,
LUX,Luxembourg,0,,
MKD,Macedonia,51187,,
MDG,Madagascar,655845,,
MWI,Malawi,64913,,
MLI,Mali,143549,,
MRT,Mauritania,25333,,
MEX,Mexico,286097,,
MDA,Moldova,20837,,
MNG,Mongolia,3884,,
MAR,Morocco,88416,,
MOZ,Mozambique,343408,,
MMR,Myanmar (Burma),4810506,,
NAM,Namibia,19021,,
NPL,Nepal,2085424,,
NLD,Netherlands,530474,,
NZL,New Zealand,35606,,
NIC,Nicaragua,48037,,
NER,Niger,20790,,
NGA,Nigeria,2836771,,
OMN,Oman,5300,,
PAK,Pakistan,20041979,,
PNG,Papua New Guinea,21547,,
PRY,Paraguay,115878,,
PER,Peru,90767,,
PHL,Philippines,3931669,,
POL,Poland,1073890,,
ROU,Romania,261339,,
RUS,Russia,8349238,,
RWA,Rwanda,4364,,
SEN,Senegal,159584,,
SLE,Sierra Leone,64007,,
SVK,Slovakia,83234,,
SVN,Slovenia,10500,,
SOM,Somalia,283732,,
LKA,Sri Lanka,146353,,
SDN,Sudan,511573,,Tellman 2021 combines Sudan+South Sudan as SDN; disaggregation requires event-polygon geocoding
SYR,Syria,239365,,
TWN,Taiwan,72602,,
TZA,"Tanzania, United Republic of",377638,,
THA,Thailand,8192461,,
TGO,Togo,118257,,
TUN,Tunisia,26164,,
TUR,Turkey,1229157,,
TKM,Turkmenistan,10037,,
UGA,Uganda,49556,,
UKR,Ukraine,1495430,,
GBR,United Kingdom,25109927,,
USA,United States,2977326,,
URY,Uruguay,14108,,
UZB,Uzbekistan,54997,,
VEN,Venezuela,373793,,
VNM,Vietnam,9642982,,
YUG,Yugoslavia,98407,,Tellman 2021 combines Serbia+Montenegro as YUG; disaggregation requires event-polygon geocoding
ZMB,Zambia,214483,,
ZWE,Zimbabwe,104882,,
